证券代码,日期,收入熵指标
#002165,2013,3.7729199690349207
#002165,2014,
#002166,2009,3.2150842268411104
#002166,2010,3.624107560860459
#002166,2011,3.6502852434212527
#002174,2011,3.5428047890669276
#002174,2012,3.7392747692814394
#002174,2013,3.8742027656974654
#002174,2014,
#002175,2011,3.8412257587837186
#002175,2012,3.7957279913105006
#002175,2013,3.803136962379065
#002194,2008,3.3124462525484986
#002194,2009,3.68655161545015
#002194,2010,2.9129694351753255
#002194,2011,3.8011377657342593
#002194,2012,3.7784469160655054
#002194,2013,3.761940260677819
#002194,2014,
#002201,2011,3.793827720923428
#002201,2012,3.7902620056734184
#002201,2013,3.7869337893153756
#002201,2014,3.0924398777845514
#002201,2015,3.18403271603563
#002201,2016,3.168938287908118
#002201,2017,
#002206,2008,2.7808052558122798
#002206,2009,3.739157522290414
#002206,2010,3.7254415798524616
#002206,2011,3.7507482640315244
#002206,2012,3.8353154539489522
#002206,2013,3.8504443204791325
#002206,2014,
#002206,2015,3.2631375186504905
#002206,2016,3.2736207066990857
#002210,2011,3.8214380475243925
#002211,2008,2.9943099923573353
#002211,2009,3.2864193060585434
#002211,2010,3.241481616790389
#002211,2011,3.3802384274907933
#002211,2012,3.7310040765839543
#002211,2013,3.710763544692054
#002212,2009,3.0057279097111604
#002212,2012,3.494879991714512
#002212,2013,3.506574353228783
#002212,2014,
#002212,2017,
#002216,2009,3.4323664520045036
#002216,2010,3.417127618237135
#002216,2011,3.398732940175555
#002216,2012,3.78454004719446
#002216,2013,3.7699696277368706
#002216,2014,
#002216,2015,3.1932384722578706
#002216,2016,3.1828630640681594
#002216,2017,
#002218,2009,3.6826620765123415
#002218,2010,3.615297508293181
#002218,2011,3.7706941485577863
#002218,2012,3.7627898451588218
#002218,2013,3.7212524688141513
#002218,2014,
#002221,2012,3.5539594115267583
#002221,2013,3.533277525724476
#002221,2017,
#002224,2008,2.339510081987647
#002224,2009,3.5792241003684033
#002224,2010,3.5733829377114175
#002224,2011,3.6598343415484664
#002224,2012,3.6569408024824677
#002224,2013,3.6489053936002342
#002224,2014,
#002225,2013,3.8188561482887065
#002229,2011,3.1856529559258755
